timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
469,6,172.16.133.47,56536,67.217.64.65,443
469,6,172.16.133.47,56537,67.217.66.65,443
470,6,172.16.133.110,45907,174.129.20.55,443
475,6,172.16.133.25,60121,173.49.112.206,61315
497,6,172.16.133.132,38630,98.139.134.187,80
506,6,172.16.133.60,62042,67.217.66.49,443
506,6,172.16.133.60,62039,67.217.65.49,443
506,6,172.16.133.60,62041,67.217.64.49,443
515,6,172.16.133.68,56917,205.203.132.1,80
527,6,172.16.133.56,56237,208.92.54.5,80
527,6,172.16.133.53,53992,173.194.43.7,443
542,6,172.16.133.82,61250,64.56.203.22,443
542,6,172.16.133.82,61251,64.56.203.22,443
542,6,172.16.133.82,61252,64.56.203.22,443
543,6,172.16.133.36,64956,67.217.64.99,443
543,6,172.16.133.36,64958,67.217.66.99,443
543,6,172.16.133.36,64954,67.217.65.99,443
546,6,172.16.133.82,61253,216.137.33.209,443
546,6,172.16.133.82,61254,216.137.33.209,443
547,6,172.16.133.82,61255,216.137.33.209,443
547,6,172.16.133.82,61256,216.137.33.209,443
547,6,172.16.133.82,61257,216.137.33.209,443
549,6,172.16.133.82,61258,74.125.226.222,443
549,6,172.16.133.41,52362,173.194.75.103,443
560,6,172.16.133.23,61949,157.56.236.102,443
561,6,172.16.133.29,49318,157.56.237.150,443
567,6,172.16.133.85,60806,132.245.1.150,443
579,6,172.16.133.85,51683,216.115.208.199,443
595,6,172.16.133.85,60808,132.245.1.150,443
597,6,172.16.133.43,62631,157.56.236.102,443
607,6,172.16.133.207,49658,157.56.245.198,443
633,6,172.16.133.45,61092,173.194.68.125,5222
640,6,172.16.133.24,56569,96.43.146.48,443
641,6,172.16.133.24,56568,96.43.146.48,443
642,6,172.16.133.24,56570,96.43.146.48,443
643,6,172.16.133.24,57115,96.43.146.176,443
645,6,172.16.133.24,56567,96.43.146.48,443
647,6,172.16.133.24,57212,96.43.146.176,443
650,6,172.16.133.207,49659,157.56.245.198,443
654,6,172.16.133.132,50400,76.13.6.174,80
654,6,172.16.133.92,55696,216.219.115.163,443
654,6,172.16.133.92,55697,216.115.217.201,443
654,6,172.16.133.92,55693,64.74.80.188,443
654,6,172.16.133.92,55695,216.115.216.101,443
656,6,172.16.133.37,59832,157.56.234.118,443
661,6,172.16.133.29,60708,23.0.49.244,80
667,17,172.16.133.53,55702,67.217.94.156,8200
669,6,172.16.133.163,1185,157.56.240.102,443
681,6,172.16.133.29,60711,23.0.49.244,80
681,6,172.16.133.37,60539,96.43.146.48,443
685,6,172.16.133.53,53651,67.217.94.254,443
686,6,172.16.133.29,60328,23.33.81.244,80
696,6,172.16.133.82,61241,96.43.146.50,443
707,6,172.16.133.12,57542,96.43.146.176,443
709,6,172.16.133.60,62037,216.115.208.199,443
710,6,172.16.133.37,60540,96.43.146.48,443
714,6,172.16.133.37,60541,96.43.146.48,443
724,6,172.16.133.132,54615,98.139.161.29,80
728,6,172.16.133.116,57461,96.43.146.22,443
740,6,172.16.133.132,44305,98.138.19.88,80
741,6,172.16.133.29,60108,23.33.81.244,80
744,6,172.16.133.50,50638,96.43.146.176,443
749,6,172.16.133.37,59833,157.56.234.118,443
755,6,172.16.133.63,49370,157.56.232.214,443
757,6,172.16.133.20,62259,202.68.93.36,443
760,6,172.16.133.116,56985,96.43.146.48,443
763,6,172.16.133.132,52328,98.139.240.23,80
776,6,172.16.133.23,55024,67.217.66.244,443
781,6,172.16.133.23,55025,216.219.115.250,443
796,6,172.16.133.45,61259,96.43.146.178,443
806,6,172.16.133.29,60710,23.0.49.244,80
810,6,172.16.133.29,60709,23.0.49.244,80
810,6,172.16.133.36,64957,68.64.28.20,443
812,6,172.16.133.23,55026,68.64.30.250,443
814,6,172.16.133.23,55027,68.64.13.250,443
818,6,172.16.133.63,64439,74.125.226.195,443
828,17,172.16.133.6,56083,8.8.8.8,53
832,6,172.16.133.126,57827,72.52.5.192,80
847,6,172.16.133.73,59940,23.32.176.63,443
855,17,172.16.133.57,53807,67.217.78.31,1853
887,6,172.16.133.24,57631,23.20.10.203,443
918,6,172.16.133.24,57609,64.56.203.22,443
922,6,172.16.133.132,38635,98.139.134.187,80
927,6,172.16.133.67,51316,216.115.216.44,443
927,6,172.16.133.67,51317,216.219.115.17,443
927,6,172.16.133.67,51318,216.115.217.144,443
927,6,172.16.133.67,51313,64.74.80.15,443
939,6,172.16.133.21,53015,173.194.43.46,443
